vin,vout,L,C,fsw,iload,rds_on,duty_cycle,delta_il,ccm,delta_vout,p_cond,p_sw,p_total_loss,efficiency
12.0,5.0,1.8763377114596664e-05,0.00027647511594168164,695480.3894553154,3.596801184237966,0.03856801088599065,0.4166666666666667,0.22350688319648263,True,0.0023803669462197684,0.33737562289181505,0.6003611252177184,0.9377367481095336,0.9504413116435086
12.0,5.0,3.973070173388321e-05,0.00021150785536767263,210754.17917321785,3.7395710320457134,0.03143913903761135,0.4166666666666667,0.34832477663224964,True,0.004460016351495218,0.32326798396620293,0.189151253596497,0.5124192375626999,0.9733257720867529
12.0,5.0,1.2559556332726933e-05,0.00018529990983007325,675413.150305599,4.760542406687072,0.03732900066230076,0.4166666666666667,0.34382938308088107,True,0.003781700148708028,0.579370356112537,0.771679906575339,1.351050262687876,0.9462883426032811
12.0,5.0,9.692536385982827e-06,0.0002696400698713996,970749.1794924216,3.900382065817961,0.01561187964431485,0.4166666666666667,0.30998617561487396,True,0.0032478955522133924,0.251221641628537,0.908710245623938,1.1599318872524749,0.9438611584045957
12.0,5.0,2.546230182805652e-05,0.00017158909882935227,273970.37673968635,2.976027481521508,0.040303928182037596,0.4166666666666667,0.41810516198650705,True,0.005292789086756864,0.23769162628459506,0.1956824088720258,0.4333740351566209,0.971699891512381
12.0,5.0,2.0296149517062685e-06,0.00037584150440483265,782958.0082372971,0.4329791997355553,0.03897263232567291,0.4166666666666667,1.8354166801078622,False,0.019133820024692015,0.012284924663573829,0.08136108763995102,0.09364601230352484,0.9585369624084003
12.0,5.0,1.4953282013440406e-05,0.00015608307065032972,542564.3822453953,2.3010540678205778,0.021467126714121328,0.4166666666666667,0.35950008224173247,True,0.004125643195436123,0.10051303748420912,0.2996327949168782,0.40014583240108736,0.96638959725248
12.0,5.0,1.8287989775964032e-05,2.3838574801536366e-05,497896.7409366628,0.5790641163455664,0.04365971226243199,0.4166666666666667,0.32031814776622247,True,0.006576613682042181,0.009694102033160415,0.06919539271723826,0.07888949475039868,0.9734754799688488
12.0,5.0,4.063199844302474e-05,0.0003801959566861402,446773.8537344028,1.8896681343351036,0.031165036404413392,0.4166666666666667,0.16066854689020002,True,0.0017249203545654998,0.08212687569048438,0.20262103551743843,0.2847479112079228,0.9707443419647204
12.0,5.0,5.863642583422216e-06,0.00031253288228493784,280742.0072100923,2.5554822253147216,0.03876598158768911,0.4166666666666667,1.7717886182659714,True,0.020242057356073113,0.17763014210515646,0.17218349023789642,0.34981363234305285,0.9733520497464292
12.0,5.0,1.3735954346038376e-05,0.00023686538019079874,956057.0252580035,2.848293460440039,0.01477933239368517,0.4166666666666667,0.2220977518538759,True,0.002343571398083004,0.1311530958588026,0.6535514334840309,0.7847045293428335,0.9477774819734474
12.0,5.0,1.9405401235208186e-05,0.0002347989842677607,465611.25904176635,4.471280214210131,0.04836642637352415,0.4166666666666667,0.3228053307144953,True,0.0035971422404304236,0.603084621249224,0.49965081841606024,1.1027354396652842,0.9529933491302391
12.0,5.0,2.5208464780536806e-06,0.0001358463327963596,989179.8755357737,2.5308364500799807,0.03598466339536572,0.4166666666666667,1.1696747869675248,True,0.012784805628672543,0.16293695925594862,0.6008285963259634,0.7637655555819121,0.9430788100665125
12.0,5.0,3.746975050496528e-05,0.00034496832521008653,842933.2349273107,4.011597842751581,0.029239290681678354,0.4166666666666667,0.0923448796367925,True,0.0009631451334650855,0.35700555541893,0.8115621952363227,1.1685677506552525,0.9449478428077438
12.0,5.0,3.292911613007215e-05,0.00027140217252605547,274563.313389058,4.463293624235989,0.031166176805380346,0.4166666666666667,0.3225998917986435,True,0.0037671498408387194,0.4581013695848025,0.29410960466363767,0.7522109742484402,0.9673925424539149
12.0,5.0,2.309500804870957e-06,0.0003490640706695919,986941.4896448107,2.935731007749337,0.04901592463686558,0.4166666666666667,1.27960896430688,True,0.013260381141470918,0.2663549884733616,0.6953747361563021,0.9617297246296637,0.9385098423613173
12.0,5.0,4.251456345110207e-05,0.00022245161517205338,226040.9625950543,3.407698311895607,0.012059199685095843,0.4166666666666667,0.30350225781373913,True,0.0037895051769094466,0.17458788601108496,0.18486705759706187,0.35945494360814684,0.9793392315843492
12.0,5.0,2.5351026539977205e-05,0.00034726725306712466,477235.49014989677,2.7978587109754676,0.020365892185501718,0.4166666666666667,0.24107851930436539,True,0.0025926178830490603,0.1447965298376242,0.32045699359260854,0.46525352343023274,0.9678126529382263
12.0,5.0,1.3360757052046788e-05,0.0002194005670375352,468171.4065621712,2.1052633285141735,0.044565734742228406,0.4166666666666667,0.4662843566317096,True,0.005230281319400234,0.12713950230758034,0.23654978248661734,0.3636892847941977,0.9666033896381729
12.0,5.0,4.200595724286738e-05,0.0002604873366599878,991320.3016438945,1.3949217395868516,0.03507095306578707,0.4166666666666667,0.07004254405726068,True,0.0007343310308243441,0.04790200159602605,0.3318754175176473,0.37977741911367335,0.9483604187937148
12.0,5.0,4.343440293268896e-05,0.0003173279733531207,902963.7245290669,0.9672321576535856,0.03417364223156174,0.4166666666666667,0.07436740699535731,True,0.0007761165458411964,0.022687694358451152,0.20961013237420018,0.2322978267326513,0.9541679543273484
12.0,5.0,1.7455700329304265e-05,0.00027000876133870017,132100.7854656334,3.7672232526326495,0.03760320546988794,0.4166666666666667,1.264864841035496,True,0.01708137431129464,0.3677016950583274,0.11943675616732112,0.4871384512256485,0.9747900414073151
12.0,5.0,2.4770529061295253e-05,0.00011414267018360277,351970.3519862609,3.250869454630174,0.010630029217496683,0.4166666666666667,0.3345379823336045,True,0.004386261433870922,0.15262432919285587,0.274610319889816,0.42723464908267184,0.9743888408740634
12.0,5.0,7.980922796327597e-06,0.00027166272972880396,841693.6069048521,1.719979753487216,0.021700382444316695,0.4166666666666667,0.43418984334495014,True,0.004579257368279009,0.056631160263702074,0.34744703100383356,0.40407819126753564,0.9551222539639068
12.0,5.0,3.901861616419186e-05,0.00024495058672233263,672604.6285730139,2.749190893481848,0.019516973248031092,0.4166666666666667,0.11113608251013832,True,0.00119568008024089,0.13706178128519067,0.4437884447488009,0.5808502260339916,0.9594570988812445
12.0,5.0,4.510132520318782e-06,0.00010142611805489038,933655.2846890003,0.8733527617922595,0.032076765085632175,0.4166666666666667,0.6926453702880062,True,0.007840744998554207,0.018755921953851257,0.19569850114681842,0.21445442310066967,0.953188341563867
