L,C,fsw,iload,rds_on,vout_max,vout_min,ripple,pin_avg,pout_avg,efficiency
1.8763377114596664e-05,0.0002764751159416,695480.3894553154,3.596801184237966,0.0385680108859906,4.7559094429,4.75436830521,0.0015411376900003,-17.1418801028,16.2654153419,0.9488699748426758
3.973070173388321e-05,0.0002115078553676,210754.17917321785,3.7395710320457134,0.0314391390376113,4.75774957895,4.75524806976,0.00250150919,-17.8155436082,16.9220326437,0.9498465506217424
1.2559556332726933e-05,0.00018529990983,675413.150305599,4.760542406687072,0.0373290006623007,4.73291683197,4.73231935501,0.0005974769600003,-22.5581314459,21.3248976267,0.9453308523288996
9.692536385982829e-06,0.0002696400698713,970749.1794924216,3.900382065817961,0.0156118796443148,4.78853559494,4.78726577759,0.0012698173499998,-18.7255806685,17.8820394834,0.95495246849573
2.546230182805652e-05,0.0001715890988293,273970.37673968635,2.976027481521508,0.0403039281820375,4.76226234436,4.76059754193,0.0016648024299996,-14.1812276457,13.4939860047,0.9515386355702156
1.4953282013440406e-05,0.0001560830706503,542564.3822453953,2.3010540678205778,0.0214671267141213,4.79742288589,4.7963924408,0.0010304450899996,-11.0496284282,10.589761039,0.9583816422255104
1.8287989775964032e-05,2.383857480153637e-05,497896.7409366628,0.5790641163455664,0.0436597122624319,4.81940221786,4.81541633606,0.0039858817999993,-2.79406800614,2.68785603091,0.9619866177213304
4.063199844302474e-05,0.0003801959566861,446773.8537344028,1.889668134335104,0.0311650364044133,4.84087179243,4.74607849121,0.0947933012200001,-8.93617165554,8.68181451959,0.9715362298583072
5.863642583422216e-06,0.0003125328822849,280742.0072100923,2.5554822253147216,0.0387659815876891,4.77401738822,4.77110905051,0.00290833771,-12.2218145406,11.6416087417,0.9525270329563096
1.3735954346038376e-05,0.0002368653801907,956057.0252580036,2.848293460440039,0.0147793323936851,4.80261945724,4.80129814148,0.0013213157599993,-13.712387995,13.1359153547,0.9579597193056234
1.9405401235208183e-05,0.0002347989842677,465611.2590417664,4.471280214210131,0.0483664263735241,4.71710824966,4.71657896042,0.0005292892400001,-21.0928472176,19.8959382528,0.9432552204805574
2.5208464780536806e-06,0.0001358463327963,989179.8755357736,2.5308364500799807,0.0359846633953657,4.78482373714,4.78357028961,0.0012534475299998,-12.1372255107,11.5855874406,0.9545499035497294
3.746975050496528e-05,0.00034496832521,842933.2349273107,4.011597842751581,0.0292392906816783,4.77144908905,4.75736618042,0.0140829086299998,-19.1315552866,18.2039885473,0.9515163965812188
3.292911613007215e-05,0.000271402172526,274563.313389058,4.463293624235989,0.0311661768053803,4.7457408905,4.74326658249,0.0024743080099991,-21.1767190819,20.0931813273,0.9488335397750016
2.309500804870957e-06,0.0003490640706695,986941.4896448108,2.935731007749337,0.0490159246368655,4.76168203354,4.7608704567,0.0008115768399994,-14.0163129389,13.3102742954,0.9496273630178088
4.251456345110207e-05,0.000222451615172,226040.9625950543,3.407698311895607,0.0120591996850958,4.79328611016,4.78664447248,0.0066416376800004,-16.3303081441,15.6340331718,0.9573630230271216
2.5351026539977205e-05,0.0003472672530671,477235.4901498968,2.797858710975468,0.0203658921855017,4.80611428618,4.77800353527,0.0281107509099998,-13.3906928342,12.8414119927,0.9589804016639728
1.3360757052046788e-05,0.0002194005670375,468171.4065621712,2.105263328514173,0.0445657347422284,4.78031158447,4.77889347076,0.0014181137099997,-10.0708892358,9.61883394768,0.955112674011642
4.200595724286738e-05,0.0002604873366599,991320.3016438944,1.3949217395868516,0.035070953065787,4.85272277296,4.7741560936,0.0785666793599997,-6.64054971709,6.45217535344,0.9716327154113156
