L,C,fsw,iload,rds_on,vout_max,vout_min,ripple,pin_avg,pout_avg,efficiency_spice,vin,vout,duty_cycle,delta_il,ccm,delta_vout,p_cond,p_sw,p_total_loss,efficiency_analytical,vout_spice,vout_error_pct,efficiency_error_pct,ripple_error_pct,Q_factor,ripple_abs_error
1.8763377114596664e-05,0.0002764751159416,695480.3894553154,3.596801184237966,0.0385680108859906,4.7559094429,4.75436830521,0.0015411376900003,-17.1418801028,16.2654153419,0.9488699748426758,12.0,5.0,0.4166666666666667,0.2235068831964826,True,0.0023803669462197,0.337375622891815,0.6003611252177184,0.9377367481095336,0.9504413116435086,4.755138874055,-4.8972225189000085,-0.16532707296947288,-35.25629767091976,5.336126205265002,-0.0008392292562193998
3.973070173388321e-05,0.0002115078553676,210754.17917321785,3.7395710320457134,0.0314391390376113,4.75774957895,4.75524806976,0.00250150919,-17.8155436082,16.9220326437,0.9498465506217424,12.0,5.0,0.4166666666666667,0.3483247766322496,True,0.0044600163514952,0.3232679839662029,0.189151253596497,0.5124192375626999,0.9733257720867527,4.756498824355001,-4.870023512899984,-2.4122675201204524,-43.912555630846946,3.0849515687487346,-0.0019585071614952
1.2559556332726933e-05,0.00018529990983,675413.150305599,4.760542406687072,0.0373290006623007,4.73291683197,4.73231935501,0.0005974769600003,-22.5581314459,21.3248976267,0.9453308523288996,12.0,5.0,0.4166666666666667,0.343829383080881,True,0.003781700148708,0.579370356112537,0.771679906575339,1.351050262687876,0.9462883426032812,4.73261809349,-5.3476381301999965,-0.10118377573452247,-84.20083728202447,4.034261271314076,-0.0031842231887077004
9.692536385982829e-06,0.0002696400698713,970749.1794924216,3.900382065817961,0.0156118796443148,4.78853559494,4.78726577759,0.0012698173499998,-18.7255806685,17.8820394834,0.95495246849573,12.0,5.0,0.4166666666666667,0.3099861756148739,True,0.0032478955522133,0.251221641628537,0.908710245623938,1.1599318872524749,0.9438611584045956,4.787900686265,-4.2419862747,1.1750997477088676,-60.90338098666766,6.761395635920129,-0.0019780782022134997
2.546230182805652e-05,0.0001715890988293,273970.37673968635,2.976027481521508,0.0403039281820375,4.76226234436,4.76059754193,0.0016648024299996,-14.1812276457,13.4939860047,0.9515386355702156,12.0,5.0,0.4166666666666667,0.418105161986507,True,0.0052927890867568,0.237691626284595,0.1956824088720258,0.4333740351566209,0.971699891512381,4.761429943145,-4.7714011371,-2.074843901730389,-68.5458384471594,4.361431769744084,-0.0036279866567571996
1.4953282013440406e-05,0.0001560830706503,542564.3822453953,2.3010540678205778,0.0214671267141213,4.79742288589,4.7963924408,0.0010304450899996,-11.0496284282,10.589761039,0.9583816422255104,12.0,5.0,0.4166666666666667,0.3595000822417324,True,0.0041256431954361,0.1005130374842091,0.2996327949168782,0.4001458324010873,0.96638959725248,4.796907663344999,-4.061846733100012,-0.8286466503506285,-75.02340747402715,7.020253894995417,-0.0030951981054364993
1.8287989775964032e-05,2.383857480153637e-05,497896.7409366628,0.5790641163455664,0.0436597122624319,4.81940221786,4.81541633606,0.0039858817999993,-2.79406800614,2.68785603091,0.9619866177213304,12.0,5.0,0.4166666666666667,0.3203181477662224,True,0.0065766136820421,0.0096941020331604,0.0691953927172382,0.0788894947503986,0.9734754799688488,4.817409276959999,-3.651814460800011,-1.1801902034436422,-39.39309813980672,9.858265485851907,-0.0025907318820428005
4.063199844302474e-05,0.0003801959566861,446773.8537344028,1.889668134335104,0.0311650364044133,4.84087179243,4.74607849121,0.0947933012200001,-8.93617165554,8.68181451959,0.9715362298583072,12.0,5.0,0.4166666666666667,0.1606685468902,True,0.0017249203545654,0.0821268756904843,0.2026210355174384,0.2847479112079228,0.9707443419647204,4.79347514182,-4.130497163599998,0.081575329296706,5395.517573846685,8.093830777946579,0.0930683808654347
5.863642583422216e-06,0.0003125328822849,280742.0072100923,2.5554822253147216,0.0387659815876891,4.77401738822,4.77110905051,0.00290833771,-12.2218145406,11.6416087417,0.9525270329563096,12.0,5.0,0.4166666666666667,1.7717886182659714,True,0.0202420573560731,0.1776301421051564,0.1721834902378964,0.3498136323430528,0.9733520497464292,4.772563219365,-4.548735612700003,-2.1395153783818297,-85.63220299774801,14.28437533943246,-0.0173337196460731
1.3735954346038376e-05,0.0002368653801907,956057.0252580036,2.848293460440039,0.0147793323936851,4.80261945724,4.80129814148,0.0013213157599993,-13.712387995,13.1359153547,0.9579597193056234,12.0,5.0,0.4166666666666667,0.2220977518538759,True,0.002343571398083,0.1311530958588026,0.6535514334840309,0.7847045293428335,0.9477774819734474,4.8019587993599995,-3.9608240128000105,1.0743278381097168,-43.61956452105053,7.289649499164886,-0.0010222556380837002
