L,C,fsw,rds_on,efficiency,ripple,p_total_loss
4.519461096398757e-05,8.390084030689821e-05,139712.5345797068,0.005102310564066347,0.9676197464224959,0.007019613680770395,0.3677715918722646
2.4623829601104723e-05,4.010047821214267e-05,779733.26868443,0.005155369582404633,0.9651243200036571,1e-06,0.33963784537855163
2.9468713801313412e-05,2.074820051741005e-05,102223.45290003098,0.005122862803013208,0.9698497851087035,0.06121289152406692,0.34200456918643196
1.3296425477741992e-05,1.0408814395627684e-05,155590.4205675739,0.005103841119517675,0.9675185282422484,0.12079736012720108,0.33105727633528437
2.900829729023333e-05,3.768095242945965e-05,452250.6517062372,0.005121372725408231,0.9626927730110116,0.0011917709348404385,0.3344779048211092
4.656356540828118e-05,5.743282417054716e-05,155365.96844147416,0.005102345860754064,0.9666959340331222,0.010076167244150915,0.3276201521425697
4.4250494839927184e-05,7.157908863160892e-05,452250.6517062372,0.005120691606517322,0.9626967665222116,1e-06,0.3346700999981874
1.8762696793262752e-05,1.0796272633492411e-05,155613.7588327243,0.005103841119517675,0.9673068125440062,0.0940876321842575,0.33030600449137415
2.1664608215178384e-05,1.046637965088777e-05,155931.24447056,0.005104196371819971,0.9670752484990538,0.06601754743360519,0.3298366775184127
4.2931642882161296e-05,7.048718051673602e-05,779733.26868443,0.005103918026199544,0.9658764548205931,0.0003171738108207621,0.3400533195549585
1.3011172003201678e-05,1.0430934431118677e-05,155590.9194090414,0.005121526558453569,0.9675185282422484,0.12079736012720108,0.33105727633528437
1.299980878842586e-05,1.158705979401701e-05,155496.80740126016,0.00510089475714755,0.9674940307332457,0.10672518033288955,0.33105727633528437
4.51917960664409e-05,8.434007112660623e-05,138218.38157455297,0.0051757350491936785,0.967789560055461,0.007404684831728933,0.36509491118817494
1.4603334346117125e-05,2.4205188024745563e-05,155378.56757206965,0.005103596007995837,0.967098017473358,0.05006469208501815,0.3299835284619781
2.9468713801313412e-05,2.1256055574571967e-05,103217.35022161389,0.005630337148201824,0.9696584541989745,0.060427682285537715,0.3430769461529084
2.1231280504028317e-05,1.583168096417222e-05,155270.62619888718,0.005104196371819971,0.9670608837796629,0.05913907084368705,0.3298566003709289
4.519397558440139e-05,8.442776069931888e-05,134500.88807222835,0.005102192533958853,0.9679323131796981,0.007568111454477308,0.3616635164919393
1.4772676281705705e-05,1.3262132239374512e-05,155613.62343412344,0.0051007557937505395,0.9673578341199339,0.09734859484933853,0.3310298730998489
4.51939321468391e-05,8.434007112660623e-05,138239.0581775447,0.0051757350491936785,0.967789560055461,0.007404684831728933,0.36509491118817494
4.502273082149681e-05,8.447458180496978e-05,162550.20807165524,0.005156435229095442,0.9664144809004928,0.005061944757928846,0.3320333321958038
4.518999715508412e-05,8.396781242402827e-05,170591.85893986473,0.005110284793727962,0.9662543232199813,0.0041886067924702146,0.33499045273356165
4.518999715508412e-05,8.396781242402827e-05,140819.44664194196,0.005102310564066347,0.9676197464224959,0.007019613680770395,0.3677715918722646
4.650372257204309e-05,1.5102650800720569e-05,155697.54975617924,0.005103647234531567,0.9668637211081649,0.027571159597173014,0.3276568686037513
1.721102352640795e-05,1.0796272633492411e-05,155613.7588327243,0.005102677823975339,0.9673109252644957,0.10433975029491424,0.33030600449137415
1.4427352529253645e-05,4.0177557954428053e-05,155694.98873559208,0.00510365536768254,0.9670931298924864,0.03374559599660873,0.3303928633599731
4.504806669656351e-05,8.294974619288314e-05,182555.84981760383,0.0051009687574481224,0.9660319978949691,0.0038145215226018407,0.34738227328352655
2.9092369372442638e-05,3.803534892418706e-05,452250.6517062372,0.005121372725408231,0.9626927730110116,0.0011917709348404385,0.3344779048211092
3.5530052029245136e-05,0.00010526999833675662,134397.82748872982,0.005101818570439018,0.96792384932014,0.008493448418905734,0.35484690399335106
1.4772676281705705e-05,2.9093258778998932e-05,155614.76842060103,0.005100622448010627,0.967098017473358,0.047306747918357844,0.33033124705843653
3.520731966430789e-05,9.418627766263241e-05,141679.32816851628,0.005121716573959619,0.9676112825629378,0.008298196641137599,0.3452715274849598
1.299980878842586e-05,3.755685534192679e-05,154650.9934329417,0.005100628450407618,0.9670738179875792,0.04027363825344085,0.33033358654074396
